College Name,MTCU Title,Head Count - Fall
Durham College,Chemical Laboratory Technician,34
Durham College,Chemical Laboratory Technology,69
Durham College,Child And Youth Worker,141
Durham College,Communicative Disorders Assistant,28
Durham College,Community Integration Through Co-operative Education,40
Durham College,Computer Programmer,31
Durham College,Computer Programmer Analyst,136
Durham College,Computer Systems Technician,47
Durham College,Computer Systems Technology,142
Durham College,Construction & Hoisting Techniques,38
Durham College,Court And Administrative Tribunal Agent,39
Durham College,Court And Tribunal Agent,151
Durham College,Court Reporting - Stenomask,34
Durham College,Culinary Management,88
Durham College,Culinary Skills - Chef Training,33
Durham College,Dental Assisting (levels I And Ii),88
Durham College,Dental Hygiene,81
Durham College,Dental Office Administration,37
Durham College,Developmental Services Worker,84
Durham College,Digital Photography And Imaging,269
Durham College,Early Childhood Education,270
Durham College,Electrical Engineering Technician,152
Durham College,Electrical Techniques,N/A
Durham College,Electro-mechanical Engineering Technology,97
Durham College,Electronics Engineering Technician,27
Durham College,Electronics Engineering Technology,82
Durham College,Emergency Services Fundamentals,44
Durham College,Energy Systems Engineering Technician,43
Durham College,Energy Systems Engineering Technology,N/A
Durham College,Entertainment Administration,132
Durham College,Environmental Technology,68
Durham College,Film And Television Production,53
Durham College,Fine Arts And Crafts - Advanced,68
Durham College,Fire and Life Safety Systems Technician,45
Durham College,Fitness And Health Promotion,172
Durham College,Game Development,71
Durham College,Gas Technician 2,39
Durham College,General Arts And Science,N/A
Durham College,General Arts And Science - One-year,421
Durham College,Golf & Recreational Club Management,23
Durham College,Graphic Design,158
Durham College,"Heating, Air Conditioning And Refrigeration Techniques",94
Durham College,Horticulture Technician,40
Durham College,Hospitality Management,88
Durham College,Human Resources Management,32
Durham College,Human Services Foundation,55
Durham College,Information Systems Security,N/A
Durham College,Internet Website Development,75
Durham College,Journalism - Print,102
Durham College,Journalism - Print And Broadcast,22
Durham College,Law And Security Administration,239
Durham College,Legal Administration,185
Durham College,Legal Research and Information Management,N/A
Durham College,Library And Information Technician,52
Durham College,Mechanical Engineering Technician,73
Durham College,Mechanical Engineering Technology,148
Durham College,Mechanical Technician,58
Durham College,Mechanical Techniques,N/A
Durham College,Media Arts,30
Durham College,Mediation,19
Durham College,Motive Power Technician,51
Durham College,Music Business Management,18
Durham College,Occupational Therapist Assistant/physiotherapist Assistant (ota/pta),44
Durham College,Office Administration - Executive,41
Durham College,Office Administration - General,17
Durham College,Office Administration - Legal,41
Durham College,Office Administration - Medical,96
Durham College,Paramedic,60
Durham College,Personal Support Worker,59
Durham College,Police Foundations,376
Durham College,Practical Nursing,270
Durham College,Pre-media,31
Durham College,Pre-service Firefighter Education And Training,58
Durham College,Pre-technology,99
Durham College,Project Management,18
Durham College,Public Relations,102
Durham College,Recreation And Leisure Services,49
Durham College,Registered Nurse - Critical Care Nursing,104
Durham College,Social Service Worker,198
Durham College,Special Events Planning - Destination Tourism,75
Durham College,Sport Management,40
Durham College,Sports Administration,169
Durham College,Sports Management,35
Durham College,Stationary Engineering,80
Durham College,VFX and Digital Cinema,14
Durham College,Victimology,20
Durham College,Water And Waste Water Technician,54
Durham College,Welding Techniques,77
