S_MTCU,COLL_RGN_CD,COLL_CD,APSKey,APS_NAME,GRAD_OUT,STUD_SAT,GRAD_RATE
A-61020,SE,ALGO,ALGO01342,Photonics and Laser Technology,TRUE,FALSE,TRUE
A-61021,GTA,HUMB,HUMB01030,Electro-mechanical Engineering Technology,TRUE,TRUE,TRUE
A-61021,GTA,CENT,CENT01098,Electro-mechanical Engineering Technology - Automation And Robotics,TRUE,TRUE,TRUE
A-61021,GTA,DURH,DURH01098,Electro-mechanical Engineering Technology - Industrial Automation And Robotics - Mechtronics,TRUE,TRUE,TRUE
A-61021,GTA,SHER,SHER01167,Electromechanical Engineering Technology,TRUE,TRUE,TRUE
A-61021,GTA,GRBR,GRBR01274,Electromechanical Engineering Technology - Building Automation,TRUE,TRUE,FALSE
A-61101,N,CAMB,CAMB01263,Automation Engineering Technology,FALSE,FALSE,TRUE
A-61301,SE,LOYT,LOYT01010,Chemical Engineering Technology,TRUE,TRUE,TRUE
A-61301,N,CAMB,CAMB01011,Chemical Engineering Technology,TRUE,TRUE,TRUE
A-61301,CE,MOHA,MOHA01011,Chemical Engineering Technology,TRUE,TRUE,TRUE
A-61301,GTA,HUMB,HUMB01011,Chemical Engineering Technology,TRUE,FALSE,TRUE
A-61301,GTA,SHER,SHER01014,Chemical Engineering Technology,TRUE,TRUE,TRUE
A-61301,GTA,DURH,DURH01014,Chemical Engineering Technology,TRUE,TRUE,TRUE
A-61301,GTA,SENE,SENE01015,Chemical Engineering Technology,TRUE,TRUE,TRUE
A-61301,N,BORE,BORE01058,Chemical Engineering Technology,TRUE,TRUE,TRUE
A-61301,SW,FANS,FANS01093,Science Laboratory Technology,TRUE,TRUE,TRUE
A-61301,GTA,SHER,SHER01140,Chemical Engineering Technology - Environmental,TRUE,TRUE,TRUE
A-61301,CE,MOHA,MOHA01180,Chemical Engineering Technology - Environmental,TRUE,TRUE,TRUE
A-61302,SW,STCL,STCL01157,Chemical Laboratory Technology,TRUE,TRUE,TRUE
A-61302,GTA,DURH,DURH01162,Pharmaceutical And Food Science Technology,TRUE,TRUE,TRUE
A-61302,GTA,SENE,SENE01223,Chemical Laboratory Technology - Pharmaceutical,TRUE,TRUE,TRUE
A-61302,SW,FANS,FANS01312,Chemical Laboratory Technology - Science Laboratory,FALSE,TRUE,FALSE
A-61303,GTA,DURH,DURH01143,Biomedical Engineering Technology,TRUE,TRUE,TRUE
A-61303,GTA,CENT,CENT01216,Biomedical Engineering Technology,TRUE,TRUE,TRUE
