Variable Name (Nom de la variable),Description English,Description français,Code,Code Description English,Description du code français
,,,,,
#AGGR_TYPE_CD,Aggregation level of record,Niveau de l'enregistrement de l'agrégation,Cl,Occupational cluster,Groupe de programme 
,,,Co,College,Collège
,,,Dv,Occupational division,Le domaine d' études 
,,,Program,Program,Programme 
,,,Rg,Region,Région
,,,Sy,"System (i.e., province)",Système
,,,,,
S_MTCU,Program code,Code de programme,A-60100,Business Administration - Accounting,Administration des affaires - comptabilité
,,,C-44300,Manufacturing Techniques - Wood Products,Pratique de fabrication-travail du bois,,,
,,,C-44403,Blasting Techniques,Techniques de dynamitage,,,
,,,C-44411,Mining And Mineral Processing,Mines et traitement des minéraux,,,
,,,C-44413,Mining Foundations,Fondations minière,,,
,,,C-44700,General Arts And Science - One-year,Cours collégial général - un an,,,
,,,C-44701,General Vocational Preparation,Cours préparatoire aux études collégiales,,,
,,,C-44702,Pre-technology,Cours préparatoire en technologie,,,
,,,C-44900,Welding Techniques,Techniques de soudage,,,
,,,C-45211,Aviation Techniques - Aircraft Maintenance,Techniques d'aviation - entretien des aéronefs,,,
,,,C-45300,Machine Shop,Atelier d'usinage,,,
,,,C-45500,"Heating, Air Conditioning And Refrigeration Techniques","Pratique de chauffage, de climatisation et de réfrigération",,,
,,,C-45501,Gas Technician 2,Pratique en gaz (niveau II),,,
,,,C-45502,Gas And Oil Burner Technician 2,Pratique en brûleur à gaz et à mazout,,,
,,,C-45503,Energy Audit Techniques,Programme de formation de technicien en systèmes énergétiques,,,
,,,C-45505,Gas Technician,Pratique en gaz,,,
,,,C-45550,Renewable Energy Techniques,Techniques de l'energie renouvelable,,,
,,,C-45613,Electrical Techniques,Techniques d'électricité,,,
,,,C-46401,Auto Body Repair Techniques,Techniques de carrosserie automobile,,,
,,,C-46405,Motive Power Fundamentals,Principes fondamentaux d'entretien des véhicules moteurs,,,
,,,C-46600,Aircraft Structural Repair Technician,Pratique de réparation de structure d'aéronefs,,,
,,,C-46704,Heavy Equipment Operator,Opération de machinerie lourde,,,
,,,C-46705,Motive Power Techniques - Heavy Equipment,Entretien des véhicules moteurs - machinerie lourde,,,
,,,C-47000,Manufacturing Techniques,Pratique de fabrication,,,
,,,C-47013,Microelectronics Manufacturing Techniques - Surface Mount,Fabrication de composants montés en surface - microélectronique,,,
,,,C-47100,Motive Power Techniques - Small Powered Equipment,Entretien des véhicules moteurs - petits moteurs,,,
,,,C-47600,Renovation Techniques,Rénovations résidentielles,,,
